Sentence #,Standard_Bangla
582,বিদ্যুৎ ছাড়া না হয় থাকা যায় কিন্তু পানি ছাড়া কিভাবে থাকে মানুষ
583,আজকে জুম্মার দিন
584,আমি শুক্রবার অনেক সকালে উঠি
585,সে অনেক বেলা করে ঘুমায়
586,সে আমাকে একটি উপহার দিয়েছে
587,আজকে আমার জন্মদিন
588,আমার বয়স বেশি না
589,তার চেয়ে আমি দেখতে সুন্দর
590,এইবার কুরবানিতে লাল গরু কিনবো
591,সবকিছু একসাথে করা সম্ভব না
592,তুমি বিয়ে করছো না কেন
593,ভালো মেয়ে পাচ্ছি না
594,ঘড়িতে কয়টা বাজে
595,আজকে দুপুরে আমাদের দাওয়াত আছে
596,সবাই কেমন আছো
597,আজকে কত তারিখ
598,মন ভালো করতে তোমরা কি কর
599,আমি মাঝেমধ্যে গান শুনি
600,আজকাল পড়াশোনার চাপ অনেক বেশি
601,তোমরা কি গল্পের বই পড়তে পছন্দ কর
602,তোমাদের প্রিয় লেখক কে
603,আমার প্রিয় লেখক হুমায়ুন আহমেদ
604,ফুটবলে তোমাদের প্রিয় দল কোনটি
605,ব্রাজিল ফুটবলের সেরা দল
606,শুক্র এবং শনি সাপ্তাহিক ছুটির দিন
607,রবিবার থেকে আমাদের বিশ্ববিদ্যালয় ক্লাস শুরু
608,তুমি ঢাকার কোথায় থাকো
609,তোমাদের গ্রামের বাড়ি কোথায়
610,তুমি কি সাঁতার জানো
611,তুমি কোন ক্লাসে পড়ো
612,বাংলাদেশের প্রধানমন্ত্রীর নাম কি
613,বাংলাদেশের বর্তমান প্রধানমন্ত্রী শেখ হাসিনা
614,অনেক বড়লোক হতে চাই
615,তুমি কোন বিষয় পড়াশোনা করছো
616,বাহিরে প্রচুর গরম পড়েছে
617,আজকে সারাদিন বৃষ্টি হয়েছে
618,ফেসবুক একটি জনপ্রিয় যোগাযোগ মাধ্যম
619,জীবনে উন্নতি করতে গেলে অনেক সময় অনেক বাঁধার সম্মুখীন হতে হয়
620,সকল বাধা পেরিয়ে জীবনে সফল হতে হবে
621,আমি চা খেতে পছন্দ করি
622,তাের বইটা কি আমাকে দিতে পারিস
623,তােকে ধন্যবাদ এমন ভালাে একটি বইয়ের খোজ দেওয়ার জন্য
624,অসাধারণ একটি বই পড়েছি
625,এবারের ছুটিতে কক্সবাজার যাবো
626,আমি আমার গ্রামের বাড়ি যাব ঠিক করেছি
627,গ্রামের প্রকৃতি অনেক সুন্দর
628,নদীর দুপাড়ের মনোরম দৃশ্যে চোখ জুড়িয়ে যায়
629,তোমার মূল্যবান বক্তব্যের জন্য তোমাকে অনেক ধন্যবাদ
630,তোমাদের সকলের দোয়া চাই
631,সময় যেন আজ আর কাটছেই না
632,ছোটোবেলা থেকেই আমার সাইকেল চালানোর অভ্যাস
633,স্কুলেও সাইকেল চালিয়ে যেতাম মাঝে মাঝে
634,ক্লাসে আজ কিছুতেই মন বসছে না
635,ছয় ঋতুর দেশ বাংলাদেশ
636,বিদ্যুৎবিহীন ঘরে মােমবাতি জ্বেলে বসে আছি
637,তােমার বাসায় বিদ্যুৎ থাকতে পারে তাই এদিকে চলে এলাম
638,হঠাৎ করে বিদ্যুৎ চলে গেল
639,আধুনিক সভ্যতাকে বিজ্ঞান উপহার দিয়েছে অনেক কিছু
640,কম্পিউটার আধুনিক বিজ্ঞান জগৎকে বিশেষভাবে সহজ করেছে
641,বাংলাদেশ গ্রামপ্রধান দেশ
642,আমাদের গ্রামের জনসংখ্যা প্রায় চার হাজার
643,বিড়ালের প্রিয় খাদ্য দুধ
644,বিড়াল খুব আরামপ্রিয় প্রাণী
645,বাংলাদেশের জনসংখ্যার অর্ধেকই নারী
646,পলিথিনের ব্যবহার মারাত্মক রোগের সৃষ্টি করতে পারে
647,ইলিশ আমার প্রিয় মাছ
648,পদ্মার ইলিশ খেতে অনেক সুস্বাদু
649,ব্যস্ত একটি দিন কাটালাম
650,রাতের খাবারটি সেরেই ঘুমিয়ে পড়লাম
651,এখন পড়তে বসবো
652,সকলের কাছ থেকে বিদায় নিচ্ছি
653,আবার দেখা হবে
654,বাংলাদেশে বিভিন্ন দুর্যোগপ্রবণ অঞ্চল রয়েছে
655,বিষয়টি আসলেই দুশ্চিন্তার
656,পড়তে ইচ্ছা করতেসে না আজকে
657,তোমার প্রিয় বিষয় কি
658,গণিত তোমার কেমন লাগে
659,আমি পড়াশোনায় কাঁচা
660,আমাকে সবাই এক নামে চিনে
661,তুমি কি গিয়েছিলে
662,তোমাার প্রিয় সবজি কি
663,আমার প্রিয় সবজি টোমেটো
664,চলো একসাথে গান গাই
665,চলো একসাথে মাছ ধরি
666,আপনি আপনার পরিবার সহ আমাদের বাসায় আসবেন
667,তুমি কি আমাকে আগে দেখেছো
668,আমার সাথে নাচবা
669,তোমার প্রিয় গান কোনটি
670,তোমার প্রিয় গায়ক কে
671,কালকে ঘুড়ি উরাবো
672,তুমি কি আমায় ভালবাসো
673,চলো ঘুড়ি উরাই
674,আমি ছোটবেলায় অনেক মেধাবী ছিলাম
675,আমার নৌকায় ঘুরতে অনেক ভালো লাগে
676,জেলেরা মাছ ধরছে
677,আমি আম খাবো
678,আম আমার প্রিয় ফল
679,আজকে তোমার ভাইকে দেখলাম
680,তোমার গানের গলা অনেক ভালো
681,আমি তোমার হাসির প্রেমে পড়েছি
682,তোমার পরিবারে কে কে আছে
683,আমি তোমার বাদামী চোখ জোড়া ভালোবাসি
684,তুমি বিয়ে করবে কতো বছর বয়সে
685,ক্রিকেট খেলা তোমার কেমন লাগে
686,আমার একদমই ভালো লাগে না
687,আমার অনেক ভালো লাগে
688,তোমার বাবা কি করেন
689,তোমার ভাই কোথায় চাকরি করেন
690,আমি মুরগির মাংস বেশি পছন্দ করি
691,তুমি কি খেতে পছন্দ করো
692,আমি চিংড়ী মাছ খেতে পছন্দ করি
693,আমি তোমার সাথে রাতে সাগর পাড়ে দাঁড়ায় থাকতে চাই
694,আজকে তোমায় দেখতে আসবে
695,না করে দিও ছেলে পক্ষকে
696,আমি পারবো না না করতে
697,তোমার মনে চাইলে গিয়ে না করো
698,আমাকেে একটা গান শুনাবা
699,তুমি কি গল্প লেখো
700,চা অথবা কফি কোনটা বেশি পছন্দ
701,আমার কফি বেশি পছন্দ
702,আমি তোমায় ভালবাসি
703,বৃষ্টির দিনে রিক্সাতে ঘুরতে ভালো লাগে
704,বৃষ্টির দিনে গরম গরম খিচুড়ি আর গরু মাংস খেতে ভালো লাগে
705,বৃষ্টির দিনে চা খেতে ভালো লাগে
706,আমি ছবি তুলতে পছন্দ করি
707,আমাকে একটি বই উপহার দিও
708,মানুষ আসলে বড়ই অদ্ভুত
709,আজকে আমি ছাতা আনতে ভুলে গেছি
710,রাস্তায় আজকে অনেক মানুষ
711,আমার কালো জামা নাই
712,আমার কালো জামা আছে
713,আমি কী বেশি বিরক্ত করি
714,আমাকেতো আর ভালো লাগবে না
715,আমার সাথে তোমার কোনো সম্পর্ক নাই
716,আমি তোমাকে চিনি না
717,তুমি আমার প্রথম বন্ধু
718,আজকের আবহাওয়টা অনেক সুন্দর
719,উনি ভালো মনের মানুষ
720,আমরা এতটাও ভালো না
721,আমার টাকা নাই
722,শীতের সকাল অনেক সুন্দর
723,আমার মা আমাকে ভালবাসে
724,আমার বন্ধুর বিয়ে আজ
725,অল্প সময় ছিলো সে তাতেই মায়ায় পরে আছি
726,বিয়ের পর তুমি বদলে গেছো
727,কবিতা পড়তে আমার ভালো লাগে
728,মেয়ে মানুষ বড়ই অদ্ভুত
729,আমি কী অনেক মোটা
730,হ্যাঁ তুমি অনেক মোটা
731,তুমি কি দেখছো
732,তোমার দিকে তাকিয়ে আছি
733,তোমার সৌন্দর্যোতা দেখছি
734,পানির অপর নাম জীবন
735,আজ অনেক মজা হল
736,আমার বিয়েতে দাওয়াত রইলো
737,সবাই হারিয়ে যায়
738,আমার কোনো বন্ধু নেই
739,এই পৃথিবীতে আমি বড্ড একা
740,তুমি রান্না করতে পারো
741,তোমার হাতের লেখা অনেক সুন্দর
742,আমি গল্পের বই কিনবো
743,আমি আজকে ঢাকায় যাবো
744,ঢাকায় আমার চাকরি হয়েছে
745,চাকরি করতে আর ভালো লাগে না
746,মা আমার অনেক যত্ন নেয়
747,আমার মায়ের রান্না অনেক মজার
748,বিয়েতে আমার মত নাই
749,পাহাড়ের চূড়ায় উঠতে চাই
750,এক পাশে সাগর এক পাশে বালি
751,তোমার ছেলে অনেক দুষ্টু
752,কালকে থেকে পড়তে বসবো
753,আমার ঘড়ীটা খুজে পাচ্ছি না
754,মানুুষ অনেক স্বার্থপর হয়
755,কিন্তু কিছু মানুষ অনেক ভালো
756,আমি তাদেরই একজন হতে চাই
757,তোমার পরিবারে কি আমায় মেনে নিবে
758,তুমি অনেক যত্নশীল
759,তোমাদের পরীক্ষা কবে
760,খেলার মাঠে আজকে অনেক মানুষ
761,তুমি ভালো আছো
762,আমি ভালো নেই
763,তোমাকে ছাড়া আমি ভালো নেই
764,বিপদ বলে কয়ে আসে না
765,ছেলেটির রাগ অনেক বেশী
766,আমি একজন খারাপ মানুষ
767,তুমি কি চাও
768,তুমি কি চাও আমি চলে যাই
769,আমি চাই তুমি সবসময় আমার সাথে থাকো
770,কিন্তু এইটা কোনদিনও সম্ভব না
771,তুমি কি বিয়েতে রাজি
772,আমি রাজি না
773,পাখিটা দেখতে সুন্দর
774,লাল রঙের শাড়িতে তোমায় ভালো মানাবে
775,নীল রঙ আমার অনেক পছন্দ
776,আমি তোমায় ভালবাসি না
777,কেন ভালোবাসো না আমায়
778,আমার মধ্যে সমস্যা আছে
779,আমার মাথা গরম থাকে
780,আমি বদমেজাজি লোক
781,বেশী কথা আমার পছন্দ না
782,তুমি বোকা একজন মানুষ
783,তুমি বেশী কথা বলো
784,তুমি অল্প কথা বলো
785,আমি আজ সকালে চা খাই নাই
786,আমি আজ সকালে আমার বন্ধুদের সাথে ঘুরতে গিয়েছিলাম
787,আমি আজ সকালে আমার বন্ধুর সাথে ঝগড়া করেছি
788,আমার বন্ধু আমার সব কথা খুবই মনোযোগ দিয়ে শুনে
789,আমার বন্ধু হয়ত আমাকে অনেক ভালবাসে
790,আমার একটি বিড়াল আছে
791,আমার বিড়ালের নাম মিনু
792,আমি আমার বিড়ালের সাথে খেলতে অনেক ভালবাসি
793,এই চৌদ্দ টি বছরে আজও কোন কারনে উনি আমাকে তুই বলে ডাকেনি
794,কখনো গায়ে হাত তুলে নি
795,লোক দেখানো শেষ
796,এত তাড়াতাড়ি শেষ
797,বুঝতেছিনা কি করবো আমি
798,আমার দুই বিয়ে হয়েছে
799,আমি একজন মেয়ে মানুষ
800,আমার দ্বিতীয় বিয়ে নিয়ে আমার নিজের কাকারা মামারা খোঁচা মেরে কথা বলে
801,কিন্তু আজ পর্যন্ত আমার স্বামী আমাকে খোঁচা মেরে কথা বলেনি
802,ভাবছি আপন লোক কি এমনই হয়
803,আমার আপন লোক গুলোই এমন
804,আমার আর বাঁচতে ইচ্ছে করেনা জানেন
805,আমার প্রথম বিয়ে আমাকে জোর করে দেয়
806,সেখানে ছেলে অনেক কিপটা ছিলো আমি দুইবেলা ভাত খেতে পারতাম না
807,দ্বিতীয় বিয়েতে আমি কল্পনার চেয়েও বেশি সুখী
808,এইগুলো দেখেও সবাই না দেখার ভান করে
809,খোঁচা মারার মতো কথা আছেই যে আমার দুই বিয়ে
810,আমার সুখ দেখে আবার তাদের সহ্য হয়না
811,বিয়ে করার পাঁচ বছর পর এখন আমি স্মার্ট হইসি
812,প্রথম প্রথম বউ এর অনেক প্রশ্নের সঠিক উত্তর দিয়ে বিপদে পড়তাম
813,বিশাল ক্যাচাল লেগে যেতো
814,এরপর ঠিক করলাম তেল মারা উত্তর দিবো
815,এতে ও লাভ হলো না
816,ক্যাচাল থামলো না
817,হালকা পাতলা লাভ হচ্ছে
818,বউ খাবার সময় বেশ হাসি মুখে বল্লো রান্না কেমন হয়েছে
819,খাবারে আরেকটু রসুন দিলে বেশী মজা হতো
820,খাবারে লবণ একটু কম হয়েছে
821,তোমার খাওয়া লাগবে না
822,আমি তো আসলে কিছুই পারি না
823,বউ এর চোখ ছলছল
824,তুমি আমাকে আর কত অবাক করবা
825,এক চামচ খেয়েই এতো কথা বলে দিলা
826,চাপাবাজি টা একটু কমাও
827,তুমি রেঁধেছো
828,আমি তো ভাবলাম শাশুড়ি আম্মা আমার জন্য রান্না করে পাঠিয়েছেন
829,তোমার রান্না তো পুরা আম্মার মতো
830,আরেক টু খাও এক চামুচ দেই
831,মেকআপ টা কেমন হইসে
832,একটু বেশী হয়ে গেসে কম হলে আরো ভালো লাগতো
833,বউ মেকআপ তুলতে তুলতে যাবোই না আজ
834,আমি তো মেকআপই দিতে পারি না
835,তুমি যাও একা একা
836,পার্টি তে গিয়ে সুন্দরি দের সাথে ঢং করে আসো
837,কিভাবে এতো জোস মেকআপ করো
838,না বুঝে বেশী কথা বলো কেন
839,আমার দিকে তো আর তাকাও না চোখ থাকে অন্য মেয়েদের দিকে
840,আমি বেশ কিছুক্ষন তাঁর মুখের দিকে তাকিয়ে থাকলাম
841,তুমি এতো কিছু বুঝো কিভাবে
842,শাড়িটা আমাকে কেমন মানিয়েছে
843,সবুজ শাড়িটা পড়লে দারুন লাগতো
844,সবুজ শাড়ি কি তোমার এক্স কোনো গার্লফ্রেন্ডের পছন্দের রঙ
845,এই সব তেল আমাকে দিবা না বিরক্ত লাগে
846,মাথায় রেখো বিয়ে বাড়িতে যাচ্ছো
847,বউ এর চেয়ে তোমাকে বেশী সুন্দর লাগলে কিন্তু সমস্যা
848,বিবাহিত জীবনে সুখে থাকুন
849,আমার স্বামী মদ খায় রাতের পর রাত বন্ধুদের সাথে আড্ডা দেয়
850,আমি এটা স্বাভাবিকভাবে নিয়েছিলাম
851,আমার কাছে ধরা পড়ার পরেও স্বীকার না করে উল্টা আমার গায়ে হাত তুলে
852,এখন তাকে আর ছাড় দেওয়া যাবে না
853,যে মানুষ গায়ে হাত তোলে অন্য মেয়েদের সাথে কথা বলে ঘরে বউ রেখে
854,এমন পুরুষদের সাথে সংসার যায় না
855,কোন মানুষের প্রতি একবার বিশ্বাস উঠে গেলে অভিনয় করে বেশি দিন সেখানে থাকা যায় না
856,আর সহ্য না করতে পেরে আপনাদের কাছে সঠিক পরার্মশ চাচ্ছি
857,আমার বাবা পুলিশে আছেন তো মায়ের সাথে বিয়ের পর থেকেই তিনি পরকীয়ায় আসক্ত ছিলেন
858,আম্মু অনেক সহ্য করে এতো বছর সংসার করে গেছেন
859,এর মধ্যে অনেক সময় ভালো হয়ে যেত আবার খারাপ হয়ে যেত
860,শেষ বয়সে এসে সে এখন এমন একটা জঘন্য কাজ করলো
861,সে ২য় বিয়ে করছে একটা বিবাহিত মহিলাকে
862,সে দ্বিতীয় বিয়ে করে শান্তি পায় নি
863,বাবার কাছে আমার মায়ের নামে অনেক উল্টা পল্টা কথা বলে
864,আমি একটা পাবলিক বিশ্ববিদ্যায়ের পড়াশোনা করছি
865,সে এখন আমার পড়াশোনার খরচ দিতে চায় না
866,ঐ মহিলা আর সে মিলে আমাকে গালিগালাজ করতে থাকে
867,আমি তোর পড়াশোনার কোনো খরচ দিবো না
868,আমাকে দয়া করে সঠিক পরার্মশ দিয়ে একটু সাহায্য করুন
869,আমি কী করতে পারি
870,আটাশ বছর ধরে আমার মা কষ্ট করে গেছেন
871,অন্যদিকে এতো অন্যায় করার পরও আমার বাবা আর ঐ মহিলা অনেক সুখে আছেন
872,আপনাদের থেকে কিছু ভালো পরামর্শ নিতে আসলাম
873,আমি একজন অবিবাহিতা
874,ছোট থেকে নানার বাসায় বড় হয়েছি
875,এখন নানার বাসায়ই থাকি
876,আমাদের যৌথ পরিবার ছিল নানার বাসায়
877,আমার আব্বু আগে নেশায় আসক্ত ছিল
878,আমাদের সাথে আমার আব্বু তেমন সময় কাটাতো না
879,আব্বু সারাদিন বাহিরে বাহিরে থাকত
880,আমি তখন অনেক ছোট ছিলাম
881,আমার ফুফু চাচারাও আমাদের দেখতে পারত না
882,আম্মুই আমাকে আর ভাইকে বড় করছে অনেক কষ্ট করে
883,আমাকে আগে সবাই আদর করত
884,যত বড় হলাম সবার চোখে এক প্রকার বিশ এর মত হয়ে গেলাম আমি
885,আগের তুলনায় আব্বু অনেক ভালো হয়ছেন
886,আমার খালামুনির বিয়ে হইছে ২০১৫তে
887,আমার খালামুনির দুইটা ছেলে আছে
888,বিয়ের আগে খালামুনিই আমাকে বড় করছে
889,আম্মু কিছু হলেই আমাকে মার ধর করে
890,আমার আব্বু যে এত খারাপ কখনো ফুলের টোকাও দেয় নাই
891,আমি একজন ছেলে বর্তমানে বাংলাদেশ নেভীতে কর্মরত আছি
892,আমি চার মাস আগে পরিবারের পছন্দে বিয়ে করেছি
893,আমি সকাল আট টাই ডিউটিতে চলে যাই
894,আমার স্ত্রী একদিনও সময়মতো টেবিলে খাবার দিতে পারে না অনেক সময় বাইরে গিয়ে নাস্তা করি
895,সে এতো সকালে নাকি উঠতে পারে না
896,সে তার বাপের বাড়িতে থাকতে নাকি দশ টার আগে ঘুম থেকে উঠতো নাহ
897,সে প্রচন্ড অলস একটা কাজ সময়মতো করতে পারে না
898,সারাদিন বাসায় বসে ফেইসবুক টিকটকে সময় কাটে তার
899,আমাদের মধ্যে প্রায়সময় ঝগড়া হয়
900,আমি খুব সমস্যায় আছি
901,দিন দিন হতাশার মধ্যে ডুবে যাচ্ছি এর মুক্তি পাবো কিভাবে
902,আমি সত্যিই খুব অসহায় বোধ করতেছি
903,পোস্ট ভালো না লাগলে এড়িয়ে যান
904,একটা মেয়ে ছয়টা ছেলের সাথে প্রেম করছে
905,ভিডিও বানানোর কী দরকার ছিল
906,আমার তো মনে হয় মেয়েদের একাধিক ডেট করা উচিত
907,এমন করতেসে কেন বসে বসে
908,তিনি হিসেব মেলাতে পারছেন না
909,এ কী করে সম্ভব
910,তুমি ঘুম থেকে উঠে আমাকে কল দিও
911,তুমি এত ঘুমায় কেন
912,তোমার এত ঘুম আসে কেন
913,তোমার সাথে আমার জরুরি কথা আছে
914,একটা স্বাভাবিক মানুষ এত ঘুমায় না
915,আমার সকালে উঠেই চা খাওয়ার অভ্যাস
916,আমার সন্ধায় কফি খাওয়ার অভ্যাস আছে
917,তুমি দুপুরে কি দিয়ে ভাত খেয়েছ
918,তুমি কি রাতের বেলা বাহিরে বের হবে
919,আপনার সব থেকে কাছে মানুষটি কে
920,আপনার সাথে কথা বলতে অনেক ভালো লাগে আমার
921,আমার অনেক খারাপ লাগছে
922,আমার মনে হয় যে আমি কিছুই মনে রাখতে পারছি না
923,আমার ছোটো বোন নানার বাড়ীতে ঘুরতে গিয়েছে
924,সে পরের মাসে বিদেশ চলে যাবে
925,মেয়েটি খুবই বেয়াদপ
926,মেয়েটি সারাক্ষন মিথ্যে কথা বলে
927,ছেলেটি রাস্তা দিয়ে হেঁটে যাচ্ছে
928,একটি বিড়াল দরজার সামনে বসে আছে
929,একটি কুকুর রাস্তায় বসে আছে
930,একটি সাদা রঙের পাখি আকাশে উড়ছে
931,অল্পবয়সী একটি ছেলে বাইরে ফুটপাতে দৌড়াচ্ছে
932,আমি কাজে যেতে চাই না
933,আপনি এই কলমটি নিন
934,আমাকে সত্যি কথা বলুন
935,তুমি ঘুম থেকে তাড়াতাড়ি উঠে যাও
936,আপনি ঘুম থেকে উঠতে চান না
937,আমি সকালে নাস্তা করে স্কুলে যাই
938,আমার সকালে কিছু খেতে ভালো লাগে না
939,আমরা হেরে গেছি
940,আমরা হেরে গেছিলাম
941,আমটি কে খেয়েছিল
942,আমি হারিয়ে গেছি
943,আমি ঠিক আছি
944,আমাকে বিশ্বাস করো
945,আমার প্রশ্নের জবাব দিন
946,আমি তাকে দখতে পেলাম
947,আমাকে ঢুকতে দিন
948,আমাকে যেতে দাও
949,এখানে অপেক্ষা করুন
950,আমি অসুস্থ হয়ে পরেছিলাম
951,আমি ওদের দেখতে পেলাম
952,সময় শেষ হয়ে গেছে
953,আমরা অপেক্ষা করব
954,তিনি উঠে দাঁড়ালেন
955,আমি বেশি লম্বা
956,আমি ক্ষমা চাইছি
957,আমি ফিরে এলাম
958,আমি কেক পছন্দ করি
959,একটু ঘুমিয়ে নাও
960,আমি একা ছিলাম
961,আমার সঙ্গে আসুন
962,তিনি রেগে গেছিলেন
963,আমার হাতটা ধরুন
964,আমি অবাক হয়ে গেছিলাম
965,আমি আসবো না
966,আমি হারবো না
967,আমার হাত ব্যাথা করছে
968,আমার পা ব্যাথা করছে
969,আপনাকে কে পাঠিয়েছে
970,তোমাকে দেখে অসুস্থ বলে মনে হচ্ছে
971,আপনারা আগে যান
972,আমাকে ডাকবেন না
973,আমার হলুদ রঙ পছন্দ
974,আমি আপেল পছন্দ করি
975,আমার ঠান্ডা লেগেছে
976,আমার খিদে পাচ্ছে
977,আমি বিদেশে গেছিলাম
978,আমি ভেতরে গেলাম
979,সে রেগে গেছিলো
980,আমাকে ওখানে নিয়ে চলুন
981,সে আমার স্ত্রী
982,আপনাকে দেখে অসুস্থ বলে মনে হচ্ছে
983,আমাদের বিয়ের পর থেকেই নানা ছোটখাটো কারনে ঝগড়া লেগে থাকতো
984,আমি বুঝতে পারতাম তার অন্য কোথাও সম্পর্কে আছে
985,সে কোন দিন স্বীকার করে না
986,এভাবে নানা রকম ঝামেলা হতে থাকে
987,আমাদের পারিবারিক ভাবে বিয়ে হয়
988,যখন বাড়ীতে জানাই তখন নানা রকম কথা হয়
989,বেশ কয়েক বার তাকে সু্যোগ দেয়া হয়
990,কিন্তু সে ভালো হয়না
991,অনেক দিন বাবার বাসায় ছিলাম
992,তোমাকে ছাড়া বাচবো তোমার বিয়েতেও নাচবো
993,সে তখন আবারো ফিরে চায় আমাকে
994,এক পর্যায়ে এমন অবস্থা করে মে আমিও দূবল হয়ে যাই
995,কিছু দিন সে ভালো থাকে
996,তারপর একের পর এক অশান্তি বাড়তে থাকে
997,সে যার সাথে সম্পর্কে জড়িয়ে তাকে বিয়ে করবে না বলে কিন্তু সম্পর্ক রাখবে
998,সে শুধু আমাকে খাবার টুকু ঠিক মত দেয় যেন কাউকে বলতে না পারি
999,আমার তো একটা হাত খরচ লাগে তাও সে দেয়না
1000,বাবা হিসেবে ছেলেকে ভালবাসে অনেক
1001,চুপ ছিলাম বুঝাইছি অনেক লাভ হয়নি
1002,এক পর্যায়ে আবারো বাড়িতে জানানো হয়
1003,তখন সে অনেক খারাপ আচরন করে
1004,সে আমার পরিবারের কাউকে সম্মান করেনা
1005,সে কারো কথা বলেনা কারো বাসায় যায়না
1006,এমন কি আমার বাবা মা সামনে আসলে সালাম পর্যন্ত দেয়না
1007,সে তাদের সাথে সম্পর্ক রাখবো না
1008,আমি তখন বলি কেন কি হইছে
1009,তারা আমাকে অনেক অপমান করছে
1010,আপনারা বলেন সে পরকিয়া করবে বউ কে মারবে আর বাবা মা চুপ থাকবে
1011,আমার কোন ভাই নেই আমি বড় মেয়ে
1012,আমাদের মধ্যেবিও পরিবার
1013,এসব কিছু কাউকে বলে কোন সমাধান নাই
1014,তারা বলে আমরা আমাদের বউ কে কত মারি কোন দিন মুখ দিয়ে কথা বের করে না
1015,আমার শাশুড়িও নেই মারা গেছে অনেক আগে
1016,আমরা বিয়ের পর থেকেই আলাদা থাকি
1017,শশুরবাড়ি আমার স্বামীর কিছু নেই কারণ তার মা নাই
1018,তার বাবা বিয়ে করেছে সেখানে বছরে একবার যাওয়া হয়
1019,আমি তোমাকে খাবার দেই
1020,আপনারা বলেন যে স্বামী ভালোবেসে কথা বলেনা
1021,এসব সমস্যার সমাধান কোথায় পাবো
1022,আমি অনেক চেষ্টা করেছি যে আমার কোন ভুল আছে কিনা
1023,সে সবাই কে বলে আমি তো ওর সাথেই সংসার করি
1024,এমন না যে আমি দেখতে অসুন্দর
1025,যে কেউ আমাকে এক দেখা তে পছন্দ করবে
1026,কোন উপায় পাইনা কি করব
1027,শুধু ছেলের মুখের দিকে তাকিয়ে চুপ করে আছি
1028,কিন্তু আমি বেঁচে থেকে মরে আছি
1029,আমি আমার স্বামীর ভালবাসা চাই
1030,আমার পরিবারের সবার সাথে ও কথা বলুক এটা চাই
1031,আমার বাবা মা অনেক বার মাফ চাইছে
1032,যা হইছে হয়ে গেছে তোমার কথাই মানলাম আমাদের দোষ
1033,আমি চাইলেই আমার বাবার বাসায় চলে যেতে পারি
1034,সমাজের মানুষ নানান কথা বলবে
1035,আমার বাবা অসুস্থ হয়ে যাবে
1036,সে এখন নিজে মুখেই বলে তোমার সাথে আবার ও সব ঠিক করছি
1037,অন্য কোথাও বিয়ে করে ভালো থাকবা তা কীভাবে হয়
1038,সে বাহিরে যা ইচ্ছা করবে বউ হিসাবে আমাকে রাখবে
1039,এদিকে আমার পরিবারের সাথে সম্পর্ক রাখবে না
1040,আমাকে অনেক মারত
1041,ছেলেটার ভবিষ্যতের কথা ভেবে চুপ করে আছি
1042,আমার বাবা মাও এটা নিয়ে অনেক কষ্ট পাচ্ছে
1043,আমি বড় মেয়ে আমার ছোট বোন আছে শুধু
1044,আপনার পরামর্শ দেন আমি কি করব
1045,দিন দিন মানসিক ভাবে অসুস্থ হয়ে যাচ্ছি
1046,কোন কথা খারাপ লাগলে দয়া করে মাফ করবেন
1047,আমি প্রেম করে বিয়ে করেছি
1048,আমি আমার স্বামীকে অনেক ভালোবাসি
1049,আমার বয়স উনিশ বছর
1050,একজন মানুষ কি এমনি এমনি খারাপ হয় বলেন
1051,এমন কিছু করবো যাতে তার কাছে আমাকে না যেতে হয়
1052,আমি কার কাছে চাইবো
1053,আপনি থানায় গিয়ে একটা মামলা করেন
1054,পুলিশকে সবকিছু প্রথম থেকে শেষ পর্যন্ত খুলে বলেন আপনার সাথে যা যা হয়েছে
1055,পুলিশকে এটাও বলেন যে আমি যদি আমার সমস্যার কোন সমাধান পাইনি
1056,আমি কিন্তু আত্মহত্যা করতে বাধ্য হব
1057,এতে পুলিশের উপর চাপ আসবে
1058,আপনার মা এবং স্বামী দুজনেই সতর্ক হবে আপনার প্রতি
1059,আপনি যদি পুলিশকে সবটা খুলে বলেন তাহলেই দেখবেন সমস্যার সমাধান হয়ে গেছে
1060,আপনি একটা সাহায্য পাচ্ছেন পুলিশের কাছ থেকে
1061,আমি বলব আপনি বিবাহবিচ্ছেদ পথ বেছে নেন
1062,নিজের মতন করে বাঁচুন
1063,দুই বেলা ডাল ভাত খেয়ে নিজের মত একা থাকা অনেক ভালো
1064,যাই হোক মায়ের কাছে অনেক কিছু পাওয়ার থাকলেও আপনি তেমন কিছু পান নাই
1065,অন্যদিকে আপনার স্বামীও লোক হিসেবে ভাল না
1066,আপনার দুই দিকেই জ্বালা হইছে
1067,কিছু কিছু বিষয়ের কোন সমাধান থাকে না
1068,অবশ্যই আপনি নিয়মিত নামাজ পড়ে আল্লাহর কাছে শান্তি প্রার্থনা করতে পারেন
1069,নিজেকে যোগ্য করে গড়ে তুলতে পারেন
1070,নিজেই নিজের জীবন পরিচালনা করতে পারেন
1071,আপনার জন্য শুভকামনা রইল
1072,আপনি নিজে কিছু করার চেষ্টা করেন যেন পরিবারের সাহায্য হয়
1073,সবাই একসাথে খারাপ হয় না
1074,ওরা আপনাকে কিভাবে চায় ওদের মতো হবার চেষ্টা করুন
1075,আশা করছি সব কিছু সমাধান হবে
1076,আমার বিয়ে হয়েছে নয় বছর
1077,প্রেম করে বিয়ে কিন্তু পারিবারিক ভাবেই হয়েছে
1078,প্রথম থেকেই আমার শাশুড়ি আমাকে অনেক ভালবাসে
1079,ওনারা আমার স্বামীকে অশিক্ষিত মেয়ের সাথে বিয়ে দিতে চেয়েছিল
